URI-tunniste	Palvelu	Fasettitermi
http://www.yso.fi/onto/ysa/Y94762	E	Asuminen
http://www.yso.fi/onto/ysa/Y94901	E	Demokratia
http://www.yso.fi/onto/ysa/Y94976	E	Elinkeinot
http://www.yso.fi/onto/ysa/Y94978	E	Elinolot
http://www.yso.fi/onto/ysa/Y95053	E	Energiahuolto
http://www.yso.fi/onto/ysa/Y95463	E	Hyvinvointi
http://www.yso.fi/onto/ysa/Y95655	E	Julkinen hallinto
http://www.yso.fi/onto/ysa/Y95741	E	Kaavat
http://www.yso.fi/onto/ysa/Y95912	E	Kartat
http://www.yso.fi/onto/ysa/Y96160	E	Kiinteistöt
http://www.yso.fi/onto/ysa/Y96417	E	Koulutus
http://www.yso.fi/onto/ysa/Y96481	E	Kulttuuri
http://www.yso.fi/onto/ysa/Y96516	E	Kulutus
http://www.yso.fi/onto/ysa/Y96711	E	Lait
http://www.yso.fi/onto/ysa/Y96879	E	Liikenne
http://www.yso.fi/onto/ysa/Y96915	E	Liikunta
http://www.yso.fi/onto/ysa/Y97037	E	Luonto
http://www.yso.fi/onto/ysa/Y103727	E	Ohjaus
http://www.yso.fi/onto/ysa/Y97768	E	Oikeusturva
http://www.yso.fi/onto/ysa/Y97807	E	Opetus
http://www.yso.fi/onto/ysa/Y101814	E	Puolustus
http://www.yso.fi/onto/ysa/Y98395	E	Päätöksenteko
http://www.yso.fi/onto/ysa/Y98489	E	Rakentaminen
http://www.yso.fi/onto/ysa/Y136186	E	Sisäinen turvallisuus
http://www.yso.fi/onto/ysa/Y98958	E	Sosiaalipalvelut
http://www.yso.fi/onto/ysa/Y100716	E	Talous
http://www.yso.fi/onto/ysa/Y99365	E	Teknologia
http://www.yso.fi/onto/ysa/Y99441	E	Terveys
http://www.yso.fi/onto/ysa/Y99459	E	Tiede
http://www.yso.fi/onto/ysa/Y99640	E	Tulot
http://www.yso.fi/onto/ysa/Y99691	E	Turvallisuus
http://www.yso.fi/onto/ysa/Y99743	E	Työ
http://www.yso.fi/onto/ysa/Y99770	E	Työmarkkinat
http://www.yso.fi/onto/ysa/Y99867	E	Ulkoilu
http://www.yso.fi/onto/juho/p386	E	Ulkosuhteet
http://www.yso.fi/onto/ysa/Y99955	E	Vaalit
http://www.yso.fi/onto/ysa/Y100022	E	Valtiontalous
http://www.yso.fi/onto/ysa/Y100162	E	Verotus
http://www.yso.fi/onto/ysa/Y100179	E	Vesihuolto
http://www.yso.fi/onto/ysa/Y100228	E	Viestintä
http://www.yso.fi/onto/ysa/Y100322	E	Väestö
http://www.yso.fi/onto/ysa/Y100378	E	Yhdyskuntarakenne
http://www.yso.fi/onto/ysa/Y100440	E	Ympäristö
http://www.yso.fi/onto/ysa/Y100472	E	Yritykset
